Accident ID,Date,Time,Latitude,Longitude,Location,Weather Condition,Road Condition,Vehicles Involved,Casualties,Turning Radii,Steep Slope Angles,Cause
6c97348c,01-05-2023,6:41:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Frost,Frosty,4,6,10,12,Drunk Driving
d0980d2e,01-05-2023,9:20:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Frost,Under Construction,3,9,7,10,Drunk Driving
659b4ec6,01-05-2023,11:26:00 PM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Fog,Under Construction,1,10,7,7,Distracted Driving
b4b805dc,01-05-2023,11:27:00 PM,34.2787,77.6046,"Khardung La Pass, Ladakh",Hail,Dry,3,8,14,14,Distracted Driving
cf4dfd9e,01-06-2023,2:59:00 AM,10.0889,77.0595,"Munnar Road, Kerala",Rain,Under Construction,2,6,8,8,Drunk Driving
7fb846f2,01-06-2023,5:42:00 AM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Rain,Wet,3,9,10,12,Weather Conditions
018de586,01-06-2023,5:42:00 AM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Rain,Gravel,2,4,6,9,Reckless Driving
8b7fc1ae,01-06-2023,6:15:00 AM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Frost,Gravel,4,0,10,11,Mechanical Failure
558596bb,01-06-2023,10:08:00 AM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Rain,Gravel,3,10,10,12,Distracted Driving
bd71070a,01-06-2023,11:18:00 AM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Clear,Frosty,2,9,6,10,Distracted Driving
b11a608b,01-06-2023,11:41:00 AM,10.0889,77.0595,"Munnar Road, Kerala",Clear,Under Construction,5,2,8,8,Weather Conditions
0ca72b2c,01-06-2023,12:46:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Fog,Frosty,4,4,6,9,Speeding
c9619c43,01-06-2023,1:45:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Rain,Frosty,5,8,6,9,Reckless Driving
04441d30,01-06-2023,2:35:00 PM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Fog,Frosty,4,2,7,7,Mechanical Failure
afb77323,01-06-2023,2:51:00 PM,34.2787,77.6046,"Khardung La Pass, Ladakh",Clear,Under Construction,5,2,14,14,Drunk Driving
34d5aa2b,01-06-2023,4:10:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Rain,Under Construction,1,7,6,9,Speeding
8b603e01,01-06-2023,4:25:00 PM,10.0889,77.0595,"Munnar Road, Kerala",Storm,Gravel,4,8,8,8,Speeding
d0e2d69e,01-06-2023,6:31:00 PM,10.0889,77.0595,"Munnar Road, Kerala",Clear,Gravel,4,3,8,8,Speeding
180c413f,01-06-2023,9:59:00 PM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Rain,Gravel,4,6,12,12,Drunk Driving
2bd5c5dd,01-06-2023,11:55:00 PM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Clear,Dry,2,5,7,7,Mechanical Failure
7fc73ea8,01-07-2023,2:39:00 AM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Hail,Icy,5,2,7,10,Drunk Driving
3e64b9b0,01-07-2023,2:45:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Rain,Frosty,3,7,14,14,Speeding
8d10b29d,01-07-2023,2:56:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Rain,Wet,4,9,14,14,Mechanical Failure
17b46540,01-07-2023,3:50:00 AM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Storm,Under Construction,5,8,6,10,Reckless Driving
d3469ba5,01-07-2023,4:20:00 AM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Rain,Dry,2,10,7,10,Mechanical Failure
7e4f38db,01-07-2023,6:44:00 AM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Clear,Gravel,4,7,7,10,Mechanical Failure
dcaa4c77,01-07-2023,6:45:00 AM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Hail,Wet,3,3,10,11,Speeding
f2673401,01-07-2023,7:22:00 AM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Fog,Dry,2,5,7,7,Drunk Driving
860f80de,01-07-2023,8:17:00 AM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Frost,Wet,2,4,8,13,Drunk Driving
8d88fe85,01-07-2023,10:58:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Rain,Wet,3,5,14,14,Drunk Driving
dfb802e6,01-07-2023,11:49:00 AM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Frost,Frosty,2,2,8,13,Mechanical Failure
d98ca690,01-07-2023,12:21:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Clear,Gravel,1,2,7,10,Distracted Driving
dffa4093,01-07-2023,12:46:00 PM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Frost,Icy,5,6,12,12,Mechanical Failure
4a382e97,01-07-2023,3:31:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Fog,Dry,5,1,10,12,Speeding
37d86a8a,01-07-2023,4:55:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Frost,Frosty,2,3,10,12,Weather Conditions
472b6c73,01-07-2023,6:04:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Frost,Gravel,4,3,8,13,Distracted Driving
b4cd2e74,01-07-2023,9:14:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Frost,Wet,4,0,8,13,Drunk Driving
a741b441,01-07-2023,10:21:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Rain,Icy,4,10,7,10,Weather Conditions
a648962a,01-07-2023,10:43:00 PM,10.0889,77.0595,"Munnar Road, Kerala",Clear,Icy,2,6,8,8,Reckless Driving
8e6bdeea,01-07-2023,11:23:00 PM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Clear,Wet,3,8,7,7,Drunk Driving
0.00E+00,01-08-2023,12:51:00 AM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Hail,Gravel,2,8,6,9,Drunk Driving
0f30e909,01-08-2023,1:28:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Frost,Dry,2,8,14,14,Distracted Driving
0a0c283e,01-08-2023,5:06:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Clear,Under Construction,2,0,14,14,Mechanical Failure
264fe810,01-08-2023,7:53:00 AM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Storm,Wet,4,2,10,11,Drunk Driving
cd7e1b56,01-08-2023,9:03:00 AM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Hail,Dry,1,1,6,10,Distracted Driving
d4610488,01-08-2023,9:21:00 AM,10.0889,77.0595,"Munnar Road, Kerala",Rain,Frosty,2,7,8,8,Speeding
54732442,01-08-2023,9:48:00 AM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Fog,Dry,3,2,7,7,Weather Conditions
c8baa107,01-08-2023,10:55:00 AM,10.0889,77.0595,"Munnar Road, Kerala",Fog,Icy,2,5,8,8,Distracted Driving
291fcc3a,01-08-2023,1:23:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Clear,Dry,2,1,10,12,Reckless Driving
584ecf6e,01-08-2023,4:39:00 PM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Storm,Wet,4,0,7,7,Reckless Driving
eae59578,01-08-2023,8:22:00 PM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Storm,Icy,1,5,12,12,Speeding
fbce668e,01-08-2023,10:33:00 PM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Clear,Wet,3,8,7,7,Reckless Driving
1ad7af54,01-09-2023,12:28:00 AM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Clear,Dry,5,10,7,7,Speeding
330c8509,01-09-2023,12:31:00 AM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Clear,Icy,3,7,7,7,Reckless Driving
da4354b9,01-09-2023,3:53:00 AM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Fog,Frosty,1,7,7,7,Reckless Driving
8ac28a0b,01-09-2023,4:59:00 AM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Fog,Under Construction,5,10,12,12,Speeding
e927880b,01-09-2023,8:47:00 AM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Hail,Wet,2,2,12,12,Reckless Driving
4adc7240,01-09-2023,1:32:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Fog,Dry,3,4,8,13,Reckless Driving
723e189c,01-09-2023,2:44:00 PM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Hail,Under Construction,3,10,6,10,Drunk Driving
41d6defe,01-09-2023,3:42:00 PM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Rain,Dry,4,9,6,10,Speeding
5d969428,01-09-2023,4:04:00 PM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Hail,Frosty,3,1,6,10,Drunk Driving
96504ea4,01-09-2023,5:49:00 PM,10.0889,77.0595,"Munnar Road, Kerala",Fog,Dry,2,6,8,8,Mechanical Failure
00c02fe0,01-09-2023,6:47:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Hail,Under Construction,2,3,7,10,Speeding
6d2726c6,01-09-2023,7:37:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Clear,Wet,4,8,10,11,Speeding
9e52cb4d,01-09-2023,8:49:00 PM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Frost,Gravel,2,3,6,10,Distracted Driving
60d092d4,01-09-2023,9:58:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Fog,Frosty,5,10,10,11,Speeding
b7505777,01-10-2023,2:18:00 AM,10.0889,77.0595,"Munnar Road, Kerala",Fog,Frosty,2,10,8,8,Mechanical Failure
8462bbe3,01-10-2023,4:11:00 AM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Clear,Icy,1,8,7,10,Speeding
1e6d3d00,01-10-2023,7:30:00 AM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Clear,Wet,4,6,6,10,Weather Conditions
31d68a79,01-10-2023,8:20:00 AM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Frost,Wet,2,5,8,13,Mechanical Failure
2e36c017,01-10-2023,10:52:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Storm,Gravel,3,1,14,14,Distracted Driving
924528f8,01-10-2023,2:54:00 PM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Hail,Frosty,1,9,6,10,Distracted Driving
e41641c6,01-10-2023,3:06:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Rain,Under Construction,2,7,10,11,Reckless Driving
2d26c7e2,01-10-2023,6:41:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Storm,Wet,3,10,7,10,Distracted Driving
a020e0af,01-10-2023,6:53:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Fog,Under Construction,1,7,10,11,Reckless Driving
eab4a78f,01-10-2023,7:59:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Storm,Wet,2,4,7,10,Mechanical Failure
bc71c80a,01-10-2023,8:29:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Rain,Frosty,3,2,10,12,Mechanical Failure
01f0ffff,01-10-2023,10:06:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Fog,Gravel,3,3,10,12,Speeding
162fe96e,01-10-2023,10:12:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Hail,Gravel,4,1,10,11,Mechanical Failure
29df9eb5,01-10-2023,11:44:00 PM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Clear,Gravel,4,3,6,9,Reckless Driving
3c231ad6,01-11-2023,12:07:00 AM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Rain,Gravel,4,7,10,11,Weather Conditions
f956e569,01-11-2023,12:30:00 AM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Storm,Gravel,4,0,12,12,Weather Conditions
d4c9ddb7,01-11-2023,12:39:00 AM,10.0889,77.0595,"Munnar Road, Kerala",Clear,Gravel,5,7,8,8,Reckless Driving
6101b6cb,01-11-2023,1:06:00 AM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Hail,Icy,1,1,8,13,Drunk Driving
2874020,01-11-2023,1:16:00 AM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Storm,Wet,5,2,8,13,Weather Conditions
1ecaf7ed,01-11-2023,2:57:00 AM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Rain,Icy,2,1,7,10,Drunk Driving
153a7e4e,01-11-2023,3:31:00 AM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Rain,Frosty,1,8,10,11,Reckless Driving
d1c4e394,01-11-2023,4:00:00 AM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Rain,Under Construction,1,7,10,11,Distracted Driving
c7b43364,01-11-2023,6:06:00 AM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Clear,Dry,5,6,7,7,Drunk Driving
736cf655,01-11-2023,7:00:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Frost,Icy,3,5,14,14,Reckless Driving
4704e325,01-11-2023,7:39:00 AM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Clear,Under Construction,4,1,8,13,Drunk Driving
3195b983,01-11-2023,8:49:00 AM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Hail,Gravel,2,4,6,10,Speeding
8ef6b1ca,01-11-2023,10:31:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Clear,Under Construction,4,6,14,14,Drunk Driving
9ef611e5,01-11-2023,11:37:00 AM,10.0889,77.0595,"Munnar Road, Kerala",Storm,Under Construction,5,9,8,8,Distracted Driving
7b12ce7e,01-11-2023,12:53:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Storm,Icy,1,1,8,13,Reckless Driving
bdf0b17e,01-11-2023,1:18:00 PM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Hail,Under Construction,2,10,7,7,Mechanical Failure
6aa013c7,01-11-2023,3:28:00 PM,34.2787,77.6046,"Khardung La Pass, Ladakh",Storm,Gravel,1,2,14,14,Weather Conditions
e1b22c2f,01-11-2023,3:32:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Hail,Frosty,1,10,8,13,Distracted Driving
8b13a805,01-11-2023,9:47:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Storm,Frosty,1,9,10,12,Mechanical Failure
21d8822c,01-12-2023,5:19:00 AM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Hail,Wet,3,6,7,7,Distracted Driving
e1fc041a,01-12-2023,7:59:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Rain,Dry,5,4,14,14,Reckless Driving
e9497da7,01-12-2023,9:46:00 AM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Storm,Under Construction,5,10,7,10,Speeding
ed4a7252,01-12-2023,10:24:00 AM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Storm,Gravel,1,6,12,12,Reckless Driving
b0031435,01-12-2023,10:32:00 AM,10.3269,76.9541,"Valparai Ghat Road, Tamil Nadu",Hail,Dry,2,5,7,7,Speeding
e490e650,01-12-2023,1:52:00 PM,33.2068,78.2974,"Gata Loops, Himachal Pradesh",Fog,Gravel,2,4,7,10,Reckless Driving
b9b10d97,01-12-2023,4:18:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Hail,Frosty,2,7,10,11,Mechanical Failure
6b29b247,01-12-2023,4:39:00 PM,32.3643,77.2422,"Rohtang Pass, Himachal Pradesh",Fog,Icy,1,3,12,12,Distracted Driving
ed05353b,01-12-2023,6:49:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Fog,Under Construction,4,1,10,12,Drunk Driving
22c9139e,01-12-2023,7:53:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Hail,Dry,1,4,10,12,Mechanical Failure
ef8a4e21,01-12-2023,10:08:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Rain,Icy,4,4,10,11,Reckless Driving
51d0e817,1/13/2023,1:11:00 AM,11.4637,76.7028,"Kallati Ghat Road, Tamil Nadu",Hail,Gravel,2,1,6,9,Mechanical Failure
b88815c5,1/13/2023,1:39:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Frost,Gravel,5,3,14,14,Reckless Driving
2b560246,1/13/2023,7:53:00 AM,34.2787,77.6046,"Khardung La Pass, Ladakh",Hail,Wet,4,3,14,14,Speeding
784db344,1/13/2023,10:36:00 AM,10.0889,77.0595,"Munnar Road, Kerala",Hail,Dry,2,7,8,8,Reckless Driving
bb328ea3,1/13/2023,2:44:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Hail,Dry,1,10,8,13,Reckless Driving
d93b0c7b,1/13/2023,5:21:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Storm,Under Construction,2,6,10,12,Reckless Driving
73e6cc11,1/13/2023,9:14:00 PM,27.3869,88.8309,"Nathula Pass Road, Sikkim",Storm,Icy,1,2,10,12,Weather Conditions
f17b8a5e,1/13/2023,9:46:00 PM,31.5267,78.1523,"Kinnaur Road, Himachal Pradesh",Hail,Wet,1,5,8,13,Drunk Driving
21242867,1/13/2023,11:53:00 PM,34.2704,75.4657,"Zoji La Pass, Jammu & Kashmir",Hail,Wet,2,8,10,11,Distracted Driving
ce02701c,1/14/2023,3:29:00 AM,11.2485,78.3386,"Kolli Hills Road, Tamil Nadu",Storm,Icy,2,1,6,10,Drunk Driving
507546c2,1/14/2023,5:53:00 AM,10.0889,77.0595,"Munnar Road, Kerala",Storm,Under Construction,1,2,8,8,Weather Conditions
